timestamp,V[0][0],V[0][1],V[0][2],V[0][3],V[0][4],V[0][5],V[0][6],V[0][7],V[0][8],V[0][9],Selected Cells for Balancing
2025-08-20T12:27:42.426760,3.859,4.33,3.969,3.995,4.015,3.983,4.01,4.052,4.115,4.043,None
2025-08-20T12:27:50.548011,3.859,4.33,3.969,3.995,4.015,3.983,4.01,4.052,4.115,4.043,None
2025-08-20T12:27:58.669031,3.858,4.331,3.969,3.995,4.015,3.983,4.01,4.052,4.115,4.043,None
2025-08-20T12:28:06.790992,3.859,4.33,3.969,3.995,4.015,3.983,4.01,4.052,4.115,4.043,None
2025-08-20T12:28:14.912107,3.858,4.331,3.969,3.995,4.015,3.983,4.01,4.052,4.115,4.043,None
2025-08-20T12:28:23.033394,3.857,4.332,3.969,3.995,4.015,3.983,4.01,4.052,4.115,4.043,None
2025-08-20T12:28:31.155010,3.858,4.331,3.969,3.995,4.015,3.983,4.01,4.052,4.115,4.043,None
2025-08-20T12:28:39.276502,3.858,4.331,3.969,3.995,4.015,3.983,4.01,4.052,4.115,4.043,None
2025-08-20T12:28:47.397507,3.855,4.333,3.969,3.995,4.015,3.983,4.01,4.052,4.115,4.043,None
2025-08-20T12:28:55.518682,3.854,4.334,3.969,3.995,4.015,3.982,4.01,4.052,4.114,4.043,None
2025-08-20T12:29:03.640764,3.855,4.333,3.969,3.995,4.015,3.983,4.01,4.052,4.114,4.043,None
2025-08-20T12:29:11.762301,3.855,4.333,3.969,3.995,4.015,3.983,4.01,4.052,4.114,4.043,None
2025-08-20T12:29:19.882948,3.855,4.333,3.969,3.995,4.015,3.983,4.01,4.052,4.114,4.043,None
2025-08-20T12:29:28.004914,3.854,4.334,3.969,3.995,4.015,3.983,4.01,4.052,4.114,4.043,None
2025-08-20T12:29:36.126014,3.854,4.334,3.969,3.995,4.015,3.983,4.01,4.052,4.114,4.043,None
2025-08-20T12:29:44.247298,3.853,4.335,3.969,3.995,4.015,3.983,4.01,4.052,4.114,4.043,None
